,Atual,2023,2022,2021,2020,2019,acao
DIVIDEND YIELD (DY),"0,35%","0,43%","0,63%","0,12%","0,17%","0,00%",petz3
PAYOUT,"60,48%","60,48%","37,77%","24,48%","0,00%","0,00%",petz3
MARGEM LÍQUIDA,"0,52%","0,52%","1,79%","3,58%","4,06%","1,80%",petz3
MARGEM BRUTA,"46,70%","46,70%","47,65%","48,29%","48,27%","50,36%",petz3
MARGEM EBIT,"4,04%","4,04%","4,79%","7,73%","8,64%","9,11%",petz3
MARGEM EBITDA,"11,67%","11,67%","9,28%","11,82%","15,68%","0,00%",petz3
EV/EBITDA,"6,02","4,96","10,73","28,74","39,25",-,petz3
EV/EBIT,"17,40","14,33","20,81","43,92","71,26","7,94",petz3
P/EBITDA,"6,00","4,94","11,01","30,54","39,21",-,petz3
P/EBIT,"17,33","14,26","21,34","46,68","71,19","0,00",petz3
P/ATIVO,"0,56","0,46","0,79","2,20","4,67","0,00",petz3
P/CAP.GIRO,"3,59","2,95","8,23","11,42","38,08","0,00",petz3
P/ATIVO CIRC LIQ,"-0,85","-0,70","-1,13","-3,63","-8,78","0,00",petz3
VPA,"3,91","3,91","3,98","3,80","1,11","0,38",petz3
LPA,"0,04","0,04","0,11","0,16","0,13","0,04",petz3
GIRO ATIVOS,"0,79","0,79","0,78","0,61","0,76","0,76",petz3
ROE,"0,90%","0,90%","2,75%","4,27%","11,34%","9,70%",petz3
ROIC,"5,26%","5,26%","5,72%","7,17%","11,13%","7,13%",petz3
ROA,"0,41%","0,41%","1,39%","2,18%","3,08%","1,37%",petz3
DÍVIDA LÍQUIDA / EBITDA,"0,02","0,02","-0,27","-1,81","0,04",-,petz3
DÍVIDA LÍQUIDA / EBIT,"0,06","0,06","-0,53","-2,76","0,07","7,94",petz3
DÍVIDA BRUTA / PATRIMÔNIO,"0,24","0,24","0,06","0,13","0,96","4,85",petz3
PATRIMÔNIO / ATIVOS,"0,45","0,45","0,50","0,51","0,27","0,14",petz3
PASSIVOS / ATIVOS,"0,55","0,55","0,50","0,49","0,73","0,86",petz3
LIQUIDEZ CORRENTE,"1,81","1,81","1,48","1,95","1,35","1,16",petz3
CAGR RECEITAS 5 ANOS,"27,39%",-%,-%,-%,-%,-%,petz3
CAGR LUCROS 5 ANOS,"-0,86%",-%,-%,-%,-%,-%,petz3
P/L,"4,24","3,90","1,70","3,48","52,01","9,81",petr4
P/RECEITA (PSR),"1,03","0,95","0,50","0,82","1,36","1,30",petr4
P/VP,"1,39","1,28","0,88","0,96","1,20","1,33",petr4
DIVIDEND YIELD (DY),"17,76%","19,33%","67,99%","19,85%","0,00%","2,12%",petr4
PAYOUT,"76,61%","80,25%","104,54%","69,13%","95,21%","0,27%",petr4
MARGEM LÍQUIDA,"24,34%","24,34%","29,37%","23,56%","2,61%","13,28%",petr4
MARGEM BRUTA,"52,72%","52,72%","52,10%","48,52%","45,56%","40,40%",petr4
MARGEM EBIT,"36,98%","36,98%","45,89%","46,58%","18,24%","27,19%",petr4
MARGEM EBITDA,"49,91%","49,91%","56,52%","60,50%","39,67%","47,95%",petr4
EV/EBITDA,"3,02","2,84","1,57","2,39","6,50","2,58",petr4
EV/EBIT,"4,08","3,84","1,94","3,10","14,14","4,55",petr4
P/EBITDA,"2,07","1,90","0,88","1,36","3,43","2,72",petr4
P/EBIT,"2,79","2,57","1,09","1,76","7,45","4,79",petr4
P/ATIVO,"0,50","0,46","0,33","0,38","0,37","0,43",petr4
P/CAP.GIRO,"-77,19","-70,93","-470,68","11,13","61,31","-97,30",petr4
P/ATIVO CIRC LIQ,"-0,59","-0,54","-0,39","-0,46","-0,44","-0,48",petr4
VPA,"29,16","29,16","27,93","29,69","23,64","22,66",petr4
LPA,"9,55","9,55","14,44","8,18","0,54","3,08",petr4
GIRO ATIVOS,"0,49","0,49","0,66","0,47","0,28","0,33",petr4
ROE,"32,75%","32,75%","51,68%","27,54%","2,30%","13,58%",petr4
ROIC,"20,05%","20,05%","32,28%","23,28%","6,19%","22,24%",petr4
ROA,"11,91%","11,91%","19,35%","11,02%","0,63%","4,42%",petr4
DÍVIDA LÍQUIDA / EBITDA,"0,89","0,89","0,62","0,97","3,04","-0,23",petr4
DÍVIDA LÍQUIDA / EBIT,"1,20","1,20","0,76","1,26","6,62","-0,40",petr4
DÍVIDA BRUTA / PATRIMÔNIO,"0,80","0,80","0,77","0,85","1,27","0,001188",petr4
PATRIMÔNIO / ATIVOS,"0,36","0,36","0,37","0,40","0,31","0,32",petr4
PASSIVOS / ATIVOS,"0,64","0,64","0,63","0,60","0,68","0,68",petr4
LIQUIDEZ CORRENTE,"0,96","0,96","1,00","1,25","1,04","0,97",petr4
CAGR RECEITAS 5 ANOS,"11,12%","7,91%","17,72%","9,88%","-3,29%","-2,17%",petr4
CAGR LUCROS 5 ANOS,"25,03%","36,21%","246,76%",-%,-%,-%,petr4
P/L,"-36,73","-45,40","-47,49","157,21","146,85","113,38",hapv3
P/RECEITA (PSR),"0,99","1,23","1,61","7,92","13,45","17,10",hapv3
P/VP,"0,55","0,68","0,79","7,40","14,69","13,27",hapv3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,60%","0,43%","0,43%",hapv3
PAYOUT,-,"0,00%","-5,02%","312,29%","63,81%","54,29%",hapv3
MARGEM LÍQUIDA,"-2,70%","-2,70%","-3,40%","5,04%","9,16%","15,08%",hapv3
MARGEM BRUTA,"25,81%","25,81%","23,81%","31,02%","39,11%","39,65%",hapv3
MARGEM EBIT,"2,49%","2,49%","-0,66%","5,50%","14,81%","18,34%",hapv3
MARGEM EBITDA,"9,48%","9,48%","7,69%","13,68%","22,67%","20,89%",hapv3
EV/EBITDA,"12,19","14,66","24,88","62,00","60,39","83,67",hapv3
EV/EBIT,"46,49","55,90","-291,39","154,35","92,44","95,28",hapv3
P/EBITDA,"10,45","12,92","20,98","57,87","59,32","81,88",hapv3
P/EBIT,"39,85","49,26","-245,72","144,05","90,80","93,23",hapv3
P/ATIVO,"0,36","0,45","0,52","3,72","8,51","7,74",hapv3
P/CAP.GIRO,"13,65","16,87","83,74","585,16","83,28","-74,98",hapv3
P/ATIVO CIRC LIQ,"-0,42","-0,52","-0,59","-4,42","-11,48","-9,36",hapv3
VPA,"6,51","6,51","6,47","1,40","1,04","4,82",hapv3
LPA,"-0,10","-0,10","-0,11","0,07","0,10","0,56",hapv3
GIRO ATIVOS,"0,36","0,36","0,32","0,47","0,63","0,45",hapv3
ROE,"-1,51%","-1,51%","-1,65%","4,71%","10,01%","11,70%",hapv3
ROIC,"1,01%","1,01%","-1,37%","3,31%","9,28%","8,06%",hapv3
ROA,"-0,98%","-0,98%","-1,06%","2,38%","5,81%","6,84%",hapv3
DÍVIDA LÍQUIDA / EBITDA,"1,74","1,74","3,90","4,14","1,07","1,79",hapv3
DÍVIDA LÍQUIDA / EBIT,"6,64","6,64","-45,67","10,30","1,64","2,04",hapv3
DÍVIDA BRUTA / PATRIMÔNIO,"0,23","0,23","0,24","0,53","0,27","0,29",hapv3
PATRIMÔNIO / ATIVOS,"0,65","0,65","0,67","0,50","0,58","0,58",hapv3
PASSIVOS / ATIVOS,"0,35","0,35","0,33","0,50","0,42","0,55",hapv3
LIQUIDEZ CORRENTE,"1,23","1,23","1,06","1,04","1,65","0,63",hapv3
CAGR RECEITAS 5 ANOS,"37,19%","43,02%","43,91%",-%,-%,-%,hapv3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,hapv3
P/L,"12,29","13,68","21,22","3,88","5,73","10,35",cple6
P/RECEITA (PSR),"1,26","1,40","1,08","0,80","1,19","1,27",cple6
P/VP,"1,16","1,29","1,13","0,87","1,12","1,19",cple6
DIVIDEND YIELD (DY),"1,71%","1,54%","11,20%","20,33%","4,14%","3,63%",cple6
PAYOUT,"41,07%","41,07%","219,67%","202,63%","26,44%","21,46%",cple6
MARGEM LÍQUIDA,"10,27%","10,27%","5,07%","20,65%","20,76%","12,26%",cple6
MARGEM BRUTA,"22,00%","22,00%","22,80%","20,28%","28,63%","27,53%",cple6
MARGEM EBIT,"16,37%","16,37%","13,30%","22,71%","22,92%","19,66%",cple6
MARGEM EBITDA,"22,65%","22,65%","19,23%","27,21%","27,99%","26,40%",cple6
EV/EBITDA,"9,01","9,94","10,63","7,97","5,17","6,82",cple6
EV/EBIT,"12,47","13,75","15,37","9,55","6,32","9,15",cple6
P/EBITDA,"5,57","6,20","5,59","2,94","4,25","4,81",cple6
P/EBIT,"7,71","8,58","8,09","3,53","5,19","6,46",cple6
P/ATIVO,"0,50","0,55","0,47","0,39","0,48","0,54",cple6
P/CAP.GIRO,"6,30","7,01","10,87","5,98","12,75","-2,76",cple6
P/ATIVO CIRC LIQ,"-0,66","-0,73","-0,58","-0,50","-0,63","-0,68",cple6
VPA,"8,01","8,01","6,98","7,43","66,91","57,84",cple6
LPA,"0,76","0,76","0,37","1,66","13,09","6,67",cple6
GIRO ATIVOS,"0,39","0,39","0,44","0,48","0,40","0,42",cple6
ROE,"9,46%","9,46%","5,34%","22,33%","19,56%","11,53%",cple6
ROIC,"8,25%","8,25%","8,17%","12,31%","10,11%","8,84%",cple6
ROA,"4,17%","4,17%","2,31%","10,19%","8,36%","5,38%",cple6
DÍVIDA LÍQUIDA / EBITDA,"1,87","1,87","2,32","1,28","1,28","2,01",cple6
DÍVIDA LÍQUIDA / EBIT,"2,59","2,59","3,35","1,53","1,56","2,70",cple6
DÍVIDA BRUTA / PATRIMÔNIO,"0,63","0,63","0,60","0,53","0,50","0,67",cple6
PATRIMÔNIO / ATIVOS,"0,43","0,43","0,42","0,45","0,43","0,45",cple6
PASSIVOS / ATIVOS,"0,57","0,57","0,57","0,55","0,57","0,80",cple6
LIQUIDEZ CORRENTE,"1,47","1,47","1,30","1,40","1,18","0,51",cple6
CAGR RECEITAS 5 ANOS,"6,28%","8,06%","9,35%","12,85%","5,01%","3,12%",cple6
CAGR LUCROS 5 ANOS,"2,44%","10,11%","0,55%","42,00%","25,31%","9,08%",cple6
P/L,"10,15","12,71","7,60","9,06","14,43","26,98",bbdc4
P/RECEITA (PSR),"0,65","0,81","0,78","1,81","2,99","2,92",bbdc4
P/VP,"0,87","1,09","1,02","1,27","1,67","2,17",bbdc4
DIVIDEND YIELD (DY),"8,16%","9,93%","2,80%","5,34%","2,61%","5,57%",bbdc4
PAYOUT,"44,13%","71,57%","19,98%","62,80%","14,16%","186,01%",bbdc4
MARGEM LÍQUIDA,"6,37%","6,37%","10,30%","19,97%","20,72%","10,83%",bbdc4
MARGEM BRUTA,"30,33%","30,33%","36,23%","36,80%","-2,98%","33,80%",bbdc4
MARGEM EBIT,"4,55%","4,55%","11,76%","24,13%","5,10%","11,51%",bbdc4
MARGEM EBITDA,-,"0,00%","5,71%","0,00%","0,00%","0,00%",bbdc4
EV/EBITDA,-,-,"12,95",-,-,-,bbdc4
EV/EBIT,"13,40","16,87","6,29","6,91","55,39","24,64",bbdc4
P/EBITDA,-,-,"13,71",-,-,-,bbdc4
P/EBIT,"14,22","17,82","6,66","7,50","58,57","25,38",bbdc4
P/ATIVO,"0,08","0,09","0,09","0,13","0,17","0,25",bbdc4
P/CAP.GIRO,"-1,59","-1,99","1,54","3,35","1,37","1,29",bbdc4
P/ATIVO CIRC LIQ,"-0,09","-0,12","-0,10","-0,14","-0,20","-0,50",bbdc4
VPA,"15,63","15,63","14,92","15,14","16,27","16,66",bbdc4
LPA,"1,34","1,34","1,99","2,12","1,88","1,34",bbdc4
GIRO ATIVOS,"0,12","0,12","0,11","0,07","0,06","0,09",bbdc4
ROE,"8,60%","8,60%","13,37%","14,00%","11,56%","8,05%",bbdc4
ROIC,"3,56%","3,56%","13,37%","15,16%","-8,56%","2,71%",bbdc4
ROA,"0,75%","0,75%","1,18%","1,44%","1,21%","1,97%",bbdc4
PATRIMÔNIO / ATIVOS,"0,09","0,09","0,09","0,10","0,10","0,12",bbdc4
PASSIVOS / ATIVOS,"0,91","0,91","0,76","1,05","1,05","0,69",bbdc4
LIQUIDEZ CORRENTE,"0,79","0,79","8,86","5,16","11,43","1,64",bbdc4
CAGR RECEITAS 5 ANOS,"17,79%","14,80%","8,37%","-8,81%","-6,97%","-0,15%",bbdc4
CAGR LUCROS 5 ANOS,"-8,48%","-2,84%","4,15%","2,66%","-1,93%","7,93%",bbdc4
P/L,"-7,50","-13,29","-7,52","-9,44","-1,50","91,18",cogn3
P/RECEITA (PSR),"0,64","1,13","0,78","0,97","1,65","3,05",cogn3
P/VP,"0,32","0,56","0,33","0,36","0,66","1,35",cogn3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","1,05%",cogn3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","96,01%",cogn3
MARGEM LÍQUIDA,"-8,48%","-8,48%","-10,39%","-10,24%","-110,19%","3,35%",cogn3
MARGEM BRUTA,"63,73%","63,73%","63,38%","60,16%","63,05%","60,02%",cogn3
MARGEM EBIT,"12,59%","12,59%","5,96%","1,64%","-61,43%","14,47%",cogn3
MARGEM EBITDA,"20,43%","20,43%","14,95%","10,80%","-92,51%","29,48%",cogn3
EV/EBITDA,"8,15","10,55","13,21","20,32","-3,03","15,80",cogn3
EV/EBIT,"13,22","17,12","33,15","133,72","-4,56","32,18",cogn3
P/EBITDA,"3,11","5,51","5,23","8,95","-1,78","10,35",cogn3
P/EBIT,"5,05","8,95","13,12","58,88","-2,68","21,09",cogn3
P/ATIVO,"0,15","0,26","0,15","0,16","0,28","0,63",cogn3
P/CAP.GIRO,"2,81","4,98","4,02","1,60","2,17","12,41",cogn3
P/ATIVO CIRC LIQ,"-0,18","-0,33","-0,19","-0,21","-0,40","-0,72",cogn3
VPA,"6,22","6,22","6,49","6,78","7,04","8,44",cogn3
LPA,"-0,26","-0,26","-0,28","-0,26","-3,09","0,13",cogn3
GIRO ATIVOS,"0,23","0,23","0,19","0,17","0,17","0,21",cogn3
ROE,"-4,23%","-4,23%","-4,34%","-3,84%","-43,95%","1,49%",cogn3
ROIC,"2,24%","2,24%","1,24%","0,15%","-14,69%","3,43%",cogn3
ROA,"-2,03%","-2,03%","-2,05%","-1,80%","-18,86%","0,71%",cogn3
DÍVIDA LÍQUIDA / EBITDA,"5,04","5,04","7,98","11,37","-1,25","5,45",cogn3
DÍVIDA LÍQUIDA / EBIT,"8,17","8,17","20,03","74,84","-1,88","11,09",cogn3
DÍVIDA BRUTA / PATRIMÔNIO,"0,67","0,67","0,67","0,78","0,78","0,76",cogn3
PATRIMÔNIO / ATIVOS,"0,46","0,46","0,46","0,45","0,43","0,46",cogn3
PASSIVOS / ATIVOS,"0,49","0,49","0,50","0,52","0,54","0,54",cogn3
LIQUIDEZ CORRENTE,"1,36","1,36","1,24","1,70","1,76","1,63",cogn3
CAGR RECEITAS 5 ANOS,"-3,72%","-0,82%","-1,73%","-1,85%","0,02%","13,24%",cogn3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,"-24,68%",cogn3
P/L,"15,28","19,88","17,57","13,33","28,09","29,80",b3sa3
P/RECEITA (PSR),"6,36","8,28","7,34","6,11","12,51","12,30",b3sa3
P/VP,"3,11","4,05","3,66","2,81","4,76","3,19",b3sa3
DIVIDEND YIELD (DY),"3,94%","2,87%","3,68%","9,13%","3,44%","1,96%",b3sa3
PAYOUT,"60,17%","52,14%","62,68%","138,04%","87,29%","48,10%",b3sa3
MARGEM LÍQUIDA,"41,65%","41,65%","41,80%","45,85%","44,52%","41,27%",b3sa3
MARGEM BRUTA,"90,01%","90,01%","89,93%","89,89%","89,87%","89,83%",b3sa3
MARGEM EBIT,"52,91%","52,91%","55,16%","61,44%","60,06%","49,15%",b3sa3
MARGEM EBITDA,"63,91%","63,91%","65,56%","71,67%","71,20%","64,81%",b3sa3
EV/EBITDA,"9,64","12,65","10,78","7,86","16,29","17,78",b3sa3
EV/EBIT,"11,65","15,27","12,81","9,17","19,31","23,44",b3sa3
P/EBITDA,"9,96","12,96","11,20","8,53","17,57","18,98",b3sa3
P/EBIT,"12,03","15,65","13,31","9,95","20,82","25,02",b3sa3
P/ATIVO,"1,28","1,66","1,56","1,20","2,52","2,02",b3sa3
P/CAP.GIRO,"9,44","12,28","9,51","7,73","15,72","33,51",b3sa3
P/ATIVO CIRC LIQ,"-2,06","-2,69","-2,44","-2,00","-3,99","-2,74",b3sa3
VPA,"3,59","3,59","3,59","3,97","13,02","13,49",b3sa3
LPA,"0,73","0,73","0,75","0,84","2,21","1,44",b3sa3
GIRO ATIVOS,"0,20","0,20","0,21","0,20","0,20","0,16",b3sa3
ROE,"20,38%","20,38%","20,85%","21,05%","16,94%","10,69%",b3sa3
ROIC,"11,15%","11,15%","12,40%","12,35%","13,42%","8,76%",b3sa3
ROA,"8,36%","8,36%","8,88%","8,98%","8,96%","6,78%",b3sa3
DÍVIDA LÍQUIDA / EBITDA,"-0,31","-0,31","-0,42","-0,67","-1,27","-1,20",b3sa3
DÍVIDA LÍQUIDA / EBIT,"-0,38","-0,38","-0,50","-0,78","-1,51","-1,58",b3sa3
DÍVIDA BRUTA / PATRIMÔNIO,"0,69","0,69","0,60","0,63","0,29","0,17",b3sa3
PATRIMÔNIO / ATIVOS,"0,41","0,41","0,43","0,43","0,53","0,63",b3sa3
PASSIVOS / ATIVOS,"0,59","0,59","0,57","0,57","0,47","0,37",b3sa3
LIQUIDEZ CORRENTE,"1,55","1,55","1,84","1,63","1,77","1,30",b3sa3
CAGR RECEITAS 5 ANOS,"8,57%","15,48%","22,44%","34,69%","33,29%","26,50%",b3sa3
CAGR LUCROS 5 ANOS,"8,78%","14,63%","26,66%","26,68%","13,50%","22,64%",b3sa3
P/L,"-2,21","-4,03","-5,44","-14,81","-9,04","510,89",cvcb3
P/RECEITA (PSR),"0,70","1,28","1,93","8,54","17,31","13,07",cvcb3
P/VP,"1,66","3,03","7,46","18,79","187,59","26,72",cvcb3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","1,01%",cvcb3
PAYOUT,-,"0,00%","0,00%","0,00%","-18,33%","30,44%",cvcb3
MARGEM LÍQUIDA,"-31,89%","-31,89%","-35,48%","-57,68%","-191,51%","2,56%",cvcb3
MARGEM BRUTA,"90,24%","90,24%","100,00%","100,00%","82,80%","92,07%",cvcb3
MARGEM EBIT,"-9,11%","-9,11%","-3,08%","-53,72%","-224,58%","19,47%",cvcb3
MARGEM EBITDA,"6,11%","6,11%","13,63%","-28,46%","-190,54%","28,11%",cvcb3
EV/EBITDA,"13,54","23,03","14,66","-34,22","-10,35","50,21",cvcb3
EV/EBIT,"-9,09","-15,45","-64,97","-18,13","-8,78","72,50",cvcb3
P/EBITDA,"11,52","21,01","14,17","-30,01","-9,09","46,51",cvcb3
P/EBIT,"-7,73","-14,10","-62,80","-15,90","-7,71","67,15",cvcb3
P/ATIVO,"0,25","0,46","0,60","1,42","2,12","3,33",cvcb3
P/CAP.GIRO,"-5,70","-10,40","-2,02","-18,72","-116,11","349,17",cvcb3
P/ATIVO CIRC LIQ,"-0,58","-1,06","-1,21","-3,57","-5,48","-9,57",cvcb3
VPA,"1,16","1,16","0,60","0,71","0,11","1,64",cvcb3
LPA,"-0,87","-0,87","-0,82","-0,91","-2,28","0,09",cvcb3
GIRO ATIVOS,"0,36","0,36","0,31","0,17","0,12","0,26",cvcb3
ROE,"-75,15%","-75,15%","-136,96%","-126,93%","-2.075,32%","5,23%",cvcb3
ROIC,"-9,65%","-9,65%","-10,22%","-36,79%","-109,51%","10,14%",cvcb3
ROA,"-11,33%","-11,33%","-11,06%","-9,82%","-24,07%","0,68%",cvcb3
DÍVIDA LÍQUIDA / EBITDA,"2,02","2,02","0,49","-4,21","-1,27","3,70",cvcb3
DÍVIDA LÍQUIDA / EBIT,"-1,35","-1,35","-2,18","-2,23","-1,07","5,34",cvcb3
DÍVIDA BRUTA / PATRIMÔNIO,"1,30","1,30","2,83","2,64","26,16","2,13",cvcb3
PATRIMÔNIO / ATIVOS,"0,15","0,15","0,08","0,08","0,01","0,12",cvcb3
PASSIVOS / ATIVOS,"0,85","0,85","0,92","0,92","0,99","0,88",cvcb3
LIQUIDEZ CORRENTE,"0,93","0,93","0,63","0,89","0,97","1,01",cvcb3
CAGR RECEITAS 5 ANOS,"-4,04%","-2,45%","0,61%","-4,94%","-6,66%","19,77%",cvcb3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,"-20,22%",cvcb3
P/L,"7,20","8,77","4,21","2,92","14,86","-36,26",vale3
P/RECEITA (PSR),"1,38","1,68","1,78","1,21","1,90","1,63",vale3
P/VP,"1,51","1,83","2,16","1,84","2,25","1,58",vale3
DIVIDEND YIELD (DY),"11,03%","7,87%","8,53%","18,79%","2,75%","2,65%",vale3
PAYOUT,"79,42%","72,39%","34,50%","54,85%","40,91%","-96,23%",vale3
MARGEM LÍQUIDA,"19,20%","19,20%","42,35%","41,56%","12,81%","-4,49%",vale3
MARGEM BRUTA,"42,32%","42,32%","45,17%","60,45%","52,73%","43,60%",vale3
MARGEM EBIT,"31,37%","31,37%","39,88%","48,46%","24,97%","1,51%",vale3
MARGEM EBITDA,"38,72%","38,72%","50,73%","52,17%","35,57%","11,43%",vale3
EV/EBITDA,"4,19","4,97","3,87","2,39","5,46","16,02",vale3
EV/EBIT,"5,17","6,13","4,92","2,58","7,78","121,51",vale3
P/EBITDA,"3,57","4,35","3,51","2,33","5,35","14,24",vale3
P/EBIT,"4,41","5,37","4,47","2,50","7,62","108,01",vale3
P/ATIVO,"0,63","0,77","0,89","0,71","0,83","0,65",vale3
P/CAP.GIRO,"14,69","17,90","47,29","8,85","7,79","18,77",vale3
P/ATIVO CIRC LIQ,"-0,79","-0,96","-1,08","-0,95","-1,13","-0,80",vale3
VPA,"42,07","42,07","41,22","42,39","38,82","33,67",vale3
LPA,"8,80","8,80","21,13","26,71","5,89","-1,47",vale3
GIRO ATIVOS,"0,46","0,46","0,50","0,58","0,44","0,40",vale3
ROE,"20,91%","20,91%","51,27%","63,01%","15,16%","-4,37%",vale3
ROIC,"19,46%","19,46%","29,65%","43,08%","19,31%","-0,13%",vale3
ROA,"8,89%","8,89%","21,25%","24,33%","5,21%","-2,35%",vale3
DÍVIDA LÍQUIDA / EBITDA,"0,62","0,62","0,36","0,07","0,11","1,78",vale3
DÍVIDA LÍQUIDA / EBIT,"0,76","0,76","0,46","0,07","0,15","13,49",vale3
DÍVIDA BRUTA / PATRIMÔNIO,"0,35","0,35","0,35","0,40","0,44","0,39",vale3
PATRIMÔNIO / ATIVOS,"0,42","0,42","0,41","0,39","0,37","0,41",vale3
PASSIVOS / ATIVOS,"0,57","0,57","0,57","0,61","0,62","0,57",vale3
LIQUIDEZ CORRENTE,"1,28","1,28","1,12","1,47","1,67","1,23",vale3
CAGR RECEITAS 5 ANOS,"6,96%","9,12%","15,85%","25,25%","19,52%","10,98%",vale3
CAGR LUCROS 5 ANOS,-,"9,54%","40,38%","55,64%",-%,-%,vale3
P/L,"17,22","19,74","22,56","7,02","8,93","10,82",eqtl3
P/RECEITA (PSR),"0,87","1,00","1,14","1,07","1,49","1,39",eqtl3
P/VP,"1,69","1,94","1,87","2,03","2,54","3,22",eqtl3
DIVIDEND YIELD (DY),"1,12%","0,98%","2,37%","3,18%","1,38%","0,83%",eqtl3
PAYOUT,"19,34%","19,34%","53,43%","51,85%","12,34%","0,00%",eqtl3
MARGEM LÍQUIDA,"5,06%","5,06%","5,06%","15,24%","16,63%","12,85%",eqtl3
MARGEM BRUTA,"29,63%","29,63%","31,57%","28,45%","33,46%","30,48%",eqtl3
MARGEM EBIT,"18,66%","18,66%","19,45%","20,57%","26,73%","22,92%",eqtl3
MARGEM EBITDA,"23,91%","23,91%","24,44%","23,81%","30,53%","26,39%",eqtl3
EV/EBITDA,"7,14","7,67","9,70","7,10","6,73","7,49",eqtl3
EV/EBIT,"9,15","9,83","12,18","8,21","7,68","8,62",eqtl3
P/EBITDA,"3,65","4,18","4,67","4,49","4,86","5,27",eqtl3
P/EBIT,"4,67","5,36","5,87","5,20","5,56","6,07",eqtl3
P/ATIVO,"0,34","0,40","0,34","0,42","0,60","0,70",eqtl3
P/CAP.GIRO,"3,64","4,18","-75,50","2,98","4,48","4,97",eqtl3
P/ATIVO CIRC LIQ,"-0,47","-0,54","-0,45","-0,65","-0,90","-1,00",eqtl3
VPA,"18,39","18,39","14,48","11,12","9,12","7,07",eqtl3
LPA,"1,81","1,81","1,20","3,22","2,59","2,11",eqtl3
GIRO ATIVOS,"0,40","0,40","0,30","0,39","0,41","0,50",eqtl3
ROE,"9,84%","9,84%","8,27%","28,96%","28,44%","29,78%",eqtl3
ROIC,"11,09%","11,09%","7,80%","12,72%","13,71%","13,42%",eqtl3
ROA,"2,78%","2,78%","2,12%","6,97%","7,81%","7,24%",eqtl3
